merchant_id,merchant_name,category,country,city,risk_tier,registered_since
MER-00001,Merchant_1,crypto_exchange,UA,Kyiv,high,2016-05-01
MER-00002,Merchant_2,gas_station,PH,Manila,high,2011-04-01
MER-00003,Merchant_3,electronics,US,Dallas,low,2014-11-01
MER-00004,Merchant_4,travel,DE,Berlin,low,2015-10-01
MER-00005,Merchant_5,grocery,US,New York,low,2013-05-01
MER-00006,Merchant_6,healthcare,US,New York,low,2010-10-01
MER-00007,Merchant_7,healthcare,IN,Mumbai,low,2010-04-01
MER-00008,Merchant_8,healthcare,US,Dallas,low,2022-05-01
MER-00009,Merchant_9,travel,NG,Lagos,high,2022-08-01
MER-00010,Merchant_10,clothing,PH,Cebu,high,2024-02-01
MER-00011,Merchant_11,clothing,CA,Vancouver,low,2018-01-01
MER-00012,Merchant_12,gas_station,RU,St Petersburg,high,2014-09-01
MER-00013,Merchant_13,utilities,UA,Odessa,high,2023-05-01
MER-00014,Merchant_14,utilities,UA,Kyiv,high,2015-10-01
MER-00015,Merchant_15,healthcare,UA,Kyiv,high,2022-10-01
MER-00016,Merchant_16,travel,DE,Munich,low,2020-11-01
MER-00017,Merchant_17,online_retail,UA,Kyiv,high,2016-09-01
MER-00018,Merchant_18,crypto_exchange,CN,Beijing,high,2019-07-01
MER-00019,Merchant_19,online_gambling,US,Houston,high,2015-03-01
MER-00020,Merchant_20,grocery,UA,Kyiv,high,2015-04-01
MER-00021,Merchant_21,jewelry,PH,Manila,high,2013-01-01
MER-00022,Merchant_22,gas_station,PH,Cebu,high,2010-09-01
MER-00023,Merchant_23,clothing,RU,St Petersburg,high,2017-12-01
MER-00024,Merchant_24,crypto_exchange,RU,St Petersburg,high,2010-02-01
MER-00025,Merchant_25,online_retail,BR,Rio de Janeiro,low,2010-01-01
MER-00026,Merchant_26,healthcare,US,Houston,low,2015-06-01
MER-00027,Merchant_27,wire_transfer,US,Houston,high,2015-08-01
MER-00028,Merchant_28,online_gambling,RU,St Petersburg,high,2020-02-01
MER-00029,Merchant_29,jewelry,US,Chicago,high,2012-04-01
MER-00030,Merchant_30,travel,CA,Vancouver,low,2013-01-01
MER-00031,Merchant_31,wire_transfer,BR,Sao Paulo,high,2013-09-01
MER-00032,Merchant_32,travel,RU,St Petersburg,high,2016-07-01
MER-00033,Merchant_33,travel,CN,Shanghai,high,2015-06-01
MER-00034,Merchant_34,entertainment,IN,Mumbai,low,2010-11-01
MER-00035,Merchant_35,healthcare,NG,Abuja,high,2024-10-01
MER-00036,Merchant_36,travel,CN,Shanghai,high,2014-05-01
MER-00037,Merchant_37,entertainment,UA,Kyiv,high,2023-05-01
MER-00038,Merchant_38,travel,RO,Cluj,high,2018-11-01
MER-00039,Merchant_39,restaurant,US,New York,low,2012-11-01
MER-00040,Merchant_40,utilities,BR,Sao Paulo,low,2017-04-01
MER-00041,Merchant_41,restaurant,US,Chicago,low,2021-03-01
MER-00042,Merchant_42,utilities,UK,London,low,2015-03-01
MER-00043,Merchant_43,online_retail,BR,Sao Paulo,low,2024-08-01
MER-00044,Merchant_44,grocery,US,Los Angeles,low,2019-09-01
MER-00045,Merchant_45,healthcare,UK,London,low,2019-06-01
MER-00046,Merchant_46,grocery,BR,Sao Paulo,low,2014-02-01
MER-00047,Merchant_47,grocery,US,Phoenix,low,2024-12-01
MER-00048,Merchant_48,electronics,US,New York,low,2012-09-01
MER-00049,Merchant_49,clothing,RU,Moscow,high,2022-11-01
MER-00050,Merchant_50,jewelry,NG,Abuja,high,2010-01-01
MER-00051,Merchant_51,utilities,BR,Rio de Janeiro,low,2020-10-01
MER-00052,Merchant_52,online_retail,NG,Lagos,high,2014-03-01
MER-00053,Merchant_53,online_retail,PH,Manila,high,2010-01-01
MER-00054,Merchant_54,grocery,RU,St Petersburg,high,2010-06-01
MER-00055,Merchant_55,crypto_exchange,UA,Kyiv,high,2021-05-01
MER-00056,Merchant_56,grocery,DE,Munich,low,2023-09-01
MER-00057,Merchant_57,clothing,CA,Montreal,low,2013-02-01
MER-00058,Merchant_58,grocery,UK,Manchester,low,2023-07-01
MER-00059,Merchant_59,utilities,UA,Kyiv,high,2019-08-01
MER-00060,Merchant_60,electronics,UA,Odessa,high,2012-01-01
MER-00061,Merchant_61,online_gambling,CN,Shanghai,high,2015-07-01
MER-00062,Merchant_62,entertainment,UK,London,low,2011-11-01
MER-00063,Merchant_63,entertainment,US,Phoenix,low,2016-10-01
MER-00064,Merchant_64,clothing,PH,Manila,high,2024-10-01
MER-00065,Merchant_65,crypto_exchange,UA,Kyiv,high,2015-10-01
MER-00066,Merchant_66,clothing,BR,Sao Paulo,low,2024-07-01
MER-00067,Merchant_67,online_gambling,US,Houston,high,2017-02-01
MER-00068,Merchant_68,wire_transfer,US,New York,high,2017-04-01
MER-00069,Merchant_69,utilities,UA,Odessa,high,2010-04-01
MER-00070,Merchant_70,jewelry,NG,Lagos,high,2018-10-01
MER-00071,Merchant_71,healthcare,DE,Frankfurt,low,2024-01-01
MER-00072,Merchant_72,online_retail,UA,Odessa,high,2022-04-01
MER-00073,Merchant_73,entertainment,UA,Odessa,high,2017-02-01
MER-00074,Merchant_74,clothing,CN,Beijing,high,2014-05-01
MER-00075,Merchant_75,travel,US,Phoenix,low,2018-10-01
MER-00076,Merchant_76,grocery,US,Los Angeles,low,2018-12-01
MER-00077,Merchant_77,gas_station,US,Los Angeles,low,2021-07-01
MER-00078,Merchant_78,online_gambling,IN,Mumbai,high,2021-11-01
MER-00079,Merchant_79,travel,RU,Moscow,high,2016-09-01
MER-00080,Merchant_80,crypto_exchange,CA,Montreal,high,2019-04-01
MER-00081,Merchant_81,travel,PH,Manila,high,2019-04-01
MER-00082,Merchant_82,clothing,US,New York,low,2019-10-01
MER-00083,Merchant_83,utilities,US,New York,low,2014-03-01
MER-00084,Merchant_84,utilities,NG,Abuja,high,2020-12-01
MER-00085,Merchant_85,jewelry,US,Phoenix,high,2017-01-01
MER-00086,Merchant_86,entertainment,UA,Odessa,high,2015-01-01
MER-00087,Merchant_87,healthcare,RO,Bucharest,high,2012-04-01
MER-00088,Merchant_88,travel,UA,Odessa,high,2023-12-01
MER-00089,Merchant_89,travel,UA,Kyiv,high,2011-11-01
MER-00090,Merchant_90,electronics,PH,Cebu,high,2013-10-01
MER-00091,Merchant_91,travel,DE,Berlin,low,2023-12-01
MER-00092,Merchant_92,gas_station,UK,London,low,2010-03-01
MER-00093,Merchant_93,jewelry,NG,Abuja,high,2012-12-01
MER-00094,Merchant_94,online_gambling,UK,Manchester,high,2011-04-01
MER-00095,Merchant_95,crypto_exchange,DE,Munich,high,2020-02-01
MER-00096,Merchant_96,healthcare,UK,Manchester,low,2020-12-01
MER-00097,Merchant_97,electronics,UK,Birmingham,low,2020-06-01
MER-00098,Merchant_98,grocery,NG,Abuja,high,2015-11-01
MER-00099,Merchant_99,clothing,RU,Moscow,high,2022-01-01
MER-00100,Merchant_100,gas_station,RO,Cluj,high,2010-04-01
MER-00101,Merchant_101,gas_station,RU,St Petersburg,high,2023-01-01
MER-00102,Merchant_102,clothing,US,Chicago,low,2013-09-01
MER-00103,Merchant_103,electronics,PH,Cebu,high,2017-07-01
MER-00104,Merchant_104,wire_transfer,PH,Cebu,high,2012-12-01
MER-00105,Merchant_105,grocery,DE,Berlin,low,2014-08-01
MER-00106,Merchant_106,travel,US,New York,low,2022-03-01
MER-00107,Merchant_107,healthcare,PH,Cebu,high,2016-03-01
MER-00108,Merchant_108,online_retail,UK,Manchester,low,2013-06-01
MER-00109,Merchant_109,grocery,US,New York,low,2016-03-01
MER-00110,Merchant_110,travel,NG,Abuja,high,2016-10-01
MER-00111,Merchant_111,online_gambling,US,Chicago,high,2020-11-01
MER-00112,Merchant_112,travel,UK,Manchester,low,2018-03-01
MER-00113,Merchant_113,grocery,US,Chicago,low,2023-10-01
MER-00114,Merchant_114,travel,IN,Bangalore,low,2017-04-01
MER-00115,Merchant_115,utilities,CN,Shanghai,high,2010-10-01
